Plate,Plate ID,Well,Well Number,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Cell Type,Gene Symbol,Comment [Gene Comments],Gene Identifier,RefSeq Accession,RefSeq GI Number,Control Type,Duplex Number 1,Duplex Number 2,Duplex Number 3,Duplex Number 4,Reagent Design Gene Annotation Build,Analysis Gene Annotation Build,Comment [Image File Path]
MDA231_plate_97c,97c,C7,31,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AP1G1,,164,NM_001128,71772941,,D-019183-01,D-019183-03,D-019183-18,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97c
MDA231_plate_97a,97a,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97a
MDA231_plate_97b,97b,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97b
MDA231_plate_97d,97d,C7,31,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AP1G1,,164,NM_001128,71772941,,D-019183-01,D-019183-03,D-019183-18,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97d
MDA231_plate_97d,97d,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97d
MDA231_plate_97b,97b,C7,31,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AP1G1,,164,NM_001128,71772941,,D-019183-01,D-019183-03,D-019183-18,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97b
MDA231_plate_97a,97a,C7,31,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,AP1G1,,164,NM_001128,71772941,,D-019183-01,D-019183-03,D-019183-18,D-019183-17,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97a
MDA231_plate_97a,97a,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,D-019183-18,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97a
MDA231_plate_97c,97c,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,D-019183-18,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97c
MDA231_plate_97b,97b,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,D-019183-18,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97b
MDA231_plate_97d,97d,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,,D-019183-18,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97d
MDA231_plate_97a,97a,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,D-019183-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97a
MDA231_plate_97d,97d,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,D-019183-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97d
MDA231_plate_97a,97a,F5,65,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,D-019183-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97a
MDA231_plate_97b,97b,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,D-019183-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97b
MDA231_plate_97c,97c,D3,39,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,,D-019183-03,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97c
MDA231_plate_97d,97d,F5,65,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,D-019183-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97d
MDA231_plate_97c,97c,F5,65,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,D-019183-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97c
MDA231_plate_97b,97b,F5,65,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,AP1G1,,164,NM_001128,71772941,,D-019183-01,,,,,,./Validation PKT screen MDA-MB-231/MDA231 hits validation set2/MDA231_plate_97b
Hs578T_Val-2460d,2460d,A7,7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,APEX1,,328,NM_001641,18375500,,D-010237-01,D-010237-02,D-010237-03,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460d
Hs578T_Val-2460a,2460a,H10,94,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460a
Hs578T_Val-2460b,2460b,A7,7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,APEX1,,328,NM_001641,18375500,,D-010237-01,D-010237-02,D-010237-03,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460b
Hs578T_Val-2460a,2460a,A7,7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,APEX1,,328,NM_001641,18375500,,D-010237-01,D-010237-02,D-010237-03,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460a
Hs578T_Val-2460c,2460c,A7,7,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,APEX1,,328,NM_001641,18375500,,D-010237-01,D-010237-02,D-010237-03,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460c
Hs578T_Val-2460c,2460c,H10,94,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460c
Hs578T_Val-2460d,2460d,H10,94,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460d
Hs578T_Val-2460b,2460b,H10,94,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,,D-010237-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460b
Hs578T_Val-2460a,2460a,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,D-010237-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460a
Hs578T_Val-2460d,2460d,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,D-010237-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460d
Hs578T_Val-2460c,2460c,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,D-010237-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460c
Hs578T_Val-2460b,2460b,C4,28,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,,D-010237-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460b
Hs578T_Val-2460a,2460a,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,D-010237-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460a
Hs578T_Val-2460b,2460b,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,D-010237-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460b
Hs578T_Val-2460b,2460b,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,D-010237-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460b
Hs578T_Val-2460d,2460d,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,D-010237-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460d
Hs578T_Val-2460c,2460c,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,D-010237-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460c
Hs578T_Val-2460a,2460a,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,D-010237-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460a
Hs578T_Val-2460d,2460d,D2,38,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,D-010237-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460d
Hs578T_Val-2460c,2460c,H7,91,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,APEX1,,328,NM_001641,18375500,,,D-010237-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-2460c
Hs578T_Val-0676b,0676b,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676b
Hs578T_Val-0676c,0676c,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARF6,,382,NM_001663,148283740,,D-004008-02,D-004008-03,D-004008-04,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676c
Hs578T_Val-0676d,0676d,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARF6,,382,NM_001663,148283740,,D-004008-02,D-004008-03,D-004008-04,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676d
Hs578T_Val-0676a,0676a,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676a
Hs578T_Val-0676b,0676b,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARF6,,382,NM_001663,148283740,,D-004008-02,D-004008-03,D-004008-04,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676b
Hs578T_Val-0676c,0676c,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676c
Hs578T_Val-0676a,0676a,G6,78,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARF6,,382,NM_001663,148283740,,D-004008-02,D-004008-03,D-004008-04,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676a
Hs578T_Val-0676d,0676d,D5,41,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,,D-004008-17,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676d
Hs578T_Val-0676c,0676c,G2,74,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,D-004008-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676c
Hs578T_Val-0676c,0676c,D11,47,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,D-004008-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676c
Hs578T_Val-0676d,0676d,D11,47,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,D-004008-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676d
Hs578T_Val-0676a,0676a,D11,47,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,D-004008-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676a
Hs578T_Val-0676b,0676b,D11,47,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,,D-004008-04,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676b
Hs578T_Val-0676d,0676d,A6,6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,D-004008-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676d
Hs578T_Val-0676a,0676a,A6,6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,D-004008-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676a
Hs578T_Val-0676b,0676b,A6,6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,D-004008-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676b
Hs578T_Val-0676c,0676c,A6,6,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,,D-004008-03,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676c
Hs578T_Val-0676a,0676a,G2,74,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,D-004008-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676a
Hs578T_Val-0676d,0676d,G2,74,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,D-004008-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676d
Hs578T_Val-0676b,0676b,G2,74,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARF6,,382,NM_001663,148283740,,D-004008-02,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 2/Hs578T_Val-0676b
Hs578T_Val-2652d,2652d,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652d
Hs578T_Val-2652a,2652a,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652a
Hs578T_Val-2652b,2652b,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652b
Hs578T_Val-2652d,2652d,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652d
Hs578T_Val-2652c,2652c,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652c
Hs578T_Val-2652a,2652a,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652a
Hs578T_Val-2652c,2652c,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652c
Hs578T_Val-2652b,2652b,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652b
Hs578T_Val-2652c,2652c,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652c
Hs578T_Val-2652d,2652d,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652d
Hs578T_Val-2652a,2652a,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652a
Hs578T_Val-2652b,2652b,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652b
Hs578T_Val-2652d,2652d,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652d
Hs578T_Val-2652b,2652b,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652b
Hs578T_Val-2652a,2652a,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652a
Hs578T_Val-2652c,2652c,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652c
Hs578T_Val-2652c,2652c,B6,18,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652c
Hs578T_Val-2652b,2652b,B6,18,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652b
Hs578T_Val-2652d,2652d,B6,18,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652d
Hs578T_Val-2652a,2652a,B6,18,Homo sapiens,NCBITaxon,NCBITaxon_9606,HS578T,EFO,EFO_0001192,single,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,,,,,,./Validation PKT screen Hs578T/Hs578T Validation set 1/Hs578T_Val-2652a
MDA231_Val-2652b,2652b,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652b
MDA231_Val-2652b,2652b,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652b
MDA231_Val-2652d,2652d,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652d
MDA231_Val-2652c,2652c,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652c
MDA231_Val-2652c,2652c,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652c
MDA231_Val-2652a,2652a,B4,16,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652a
MDA231_Val-2652d,2652d,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652d
MDA231_Val-2652a,2652a,B3,15,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,smartpool,ARHGEF2,,9181,NM_004723,15011973,,D-009883-01,D-009883-02,D-009883-03,D-009883-05,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652a
MDA231_Val-2652b,2652b,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652b
MDA231_Val-2652a,2652a,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652a
MDA231_Val-2652d,2652d,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652d
MDA231_Val-2652c,2652c,B2,14,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,,D-009883-03,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652c
MDA231_Val-2652a,2652a,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652a
MDA231_Val-2652b,2652b,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652b
MDA231_Val-2652d,2652d,B5,17,Homo sapiens,NCBITaxon,NCBITaxon_9606,MDAMB231,EFO,EFO_0001209,single,ARHGEF2,,9181,NM_004723,15011973,,,D-009883-02,,,,,./Validation PKT screen MDA-MB-231/MDA231 Validation set 1/MDA231_Val-2652d
